matrix_size,num_blocks,omp-task,sequential,virtual-fifo,omp-task_speedup,virtual-fifo_speedup
256,1,0.020974399999999997,0.0011303333333333332,0.0234124,0.053891092633559644,0.048279259423781126
256,4,0.033827333333333334,0.0010903333333333333,,0.032232317061153704,
1024,1,0.045964000000000005,0.027623333333333333,,0.600977576654193,
1024,4,0.026817666666666667,0.027822666666666666,,1.037475296135632,
