matrix_size,num_blocks,scheduler,count,mean,std,min,max,median,ci_lower,ci_upper,cv_percent
256,1,omp-task,5,0.020974399999999997,0.006790595577708923,0.015122,0.031113,0.018436,0.015022180538769091,0.02692661946123091,32.37563686069172
256,1,sequential,6,0.0011303333333333332,1.2452576707921385e-05,0.001113,0.001144,0.0011315,0.0011203691967536903,0.0011402974699129761,1.1016729614793324
256,1,virtual-fifo,5,0.0234124,0.009832936606121287,0.009958,0.031309,0.02901,0.014793451049464558,0.03203134895053544,41.998840811370414
256,4,omp-task,3,0.033827333333333334,0.02345230942430475,0.016332,0.060476,0.024674,0.007288546901221472,0.060366119765445196,69.32946559282853
256,4,sequential,3,0.0010903333333333333,0.00011469234208670309,0.000966,0.001192,0.001113,0.0009605467303609496,0.0012201199363057167,10.519016394378149
1024,1,omp-task,3,0.045964000000000005,0.007185523015062995,0.038585,0.052939,0.046368,0.03783281525185086,0.05409518474814915,15.632936678842125
1024,1,sequential,3,0.027623333333333333,0.00010304044513361305,0.027522,0.027728,0.02762,0.027506732093012125,0.02773993457365454,0.37301959140924235
1024,4,omp-task,3,0.026817666666666667,0.004876251053148653,0.02364,0.032432,0.024381,0.02129966914465039,0.032335664188682944,18.182980323227174
1024,4,sequential,3,0.027822666666666666,7.205784713223978e-05,0.027746,0.027889,0.027833,0.027741125536486177,0.027904207796847155,0.2589897222848509
